SN,Temperature,Rainfall,Humidity,Wind,Crop,Condition,Remedy
1,25,10,70,15,rice,Normal,No specific remedy needed
2,8,2,91,50,rice,Abnormal,Adjust planting time to avoid excessive rainfall
3,62,75,58,57,rice,Normal,No specific remedy needed
4,15,45,95,25,rice,Abnormal,Improve drainage to avoid waterlogged conditions
5,-1,65,23,0,rice,Abnormal,Protect crops from frost; increase temperature
6,-9,53,76,67,rice,Abnormal,Protect crops from frost; reduce humidity
7,2,27,31,30,rice,Normal,No specific remedy needed
8,47,76,46,62,rice,Normal,No specific remedy needed
9,68,60,96,59,rice,Abnormal,Improve ventilation to reduce humidity
10,68,86,73,68,rice,Abnormal,Adjust planting time to avoid excessive rainfall
11,3,3,74,99,rice,Abnormal,Protect crops from frost; reduce wind exposure
12,32,10,74,10,rice,Normal,No specific remedy needed
13,28,48,64,92,rice,Normal,No specific remedy needed
14,24,54,72,28,rice,Normal,No specific remedy needed
15,39,66,19,82,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
16,99,78,80,79,rice,Abnormal,Protect crops from extreme heat; increase humidity
17,2,94,34,50,rice,Abnormal,Adjust planting time to avoid excessive rainfall
18,93,43,41,78,rice,Abnormal,Protect crops from extreme heat; increase humidity
19,53,4,57,70,rice,Normal,No specific remedy needed
20,32,22,18,48,rice,Normal,No specific remedy needed
21,14,42,60,97,rice,Normal,No specific remedy needed
22,94,10,66,75,rice,Abnormal,Protect crops from extreme heat; increase humidity
23,39,21,26,3,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
24,41,62,18,45,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
25,15,12,79,98,rice,Abnormal,"Reduce humidity, protect from excessive rainfall"
26,81,1,27,41,rice,Abnormal,Protect crops from extreme heat; increase humidity
27,71,63,23,9,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
28,7,63,67,47,rice,Normal,No specific remedy needed
29,14,14,4,84,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
30,9,59,74,88,rice,Abnormal,Adjust planting time to avoid excessive rainfall
31,12,10,72,99,rice,Abnormal,Protect crops from frost; reduce wind exposure
32,6,80,3,4,rice,Abnormal,Adjust planting time to avoid excessive rainfall
33,84,69,12,31,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
34,-15,57,84,87,rice,Abnormal,Protect crops from frost; increase temperature
35,14,60,12,8,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
36,61,79,40,52,rice,Normal,No specific remedy needed
37,97,55,42,57,rice,Normal,No specific remedy needed
38,20,42,36,57,rice,Normal,No specific remedy needed
39,54,17,23,80,rice,Normal,No specific remedy needed
40,23,15,64,72,rice,Normal,No specific remedy needed
41,28,45,78,15,rice,Normal,No specific remedy needed
42,5,85,10,40,rice,Abnormal,Adjust planting time to avoid excessive rainfall
43,37,25,65,20,rice,Normal,No specific remedy needed
44,-5,60,88,90,rice,Abnormal,Protect crops from frost; increase temperature
45,18,70,15,5,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
46,70,20,70,35,rice,Normal,No specific remedy needed
47,88,40,45,60,rice,Abnormal,Protect crops from extreme heat; increase humidity
48,15,35,50,25,rice,Normal,No specific remedy needed
49,45,90,35,10,rice,Abnormal,Adjust planting time to avoid excessive rainfall
50,32,18,75,55,rice,Abnormal,"Increase humidity, protect from excessive sunlight"
51,25,55,65,20,beans,Normal,No specific remedy needed
52,10,90,15,30,beans,Abnormal,Adjust planting time to avoid excessive rainfall
53,30,30,70,25,beans,Normal,No specific remedy needed
54,-2,70,85,80,beans,Abnormal,Protect crops from frost; increase temperature
55,20,60,10,15,beans,Abnormal,"Increase humidity, protect from excessive sunlight"
56,28,40,60,25,beans,Normal,No specific remedy needed
57,22,35,40,50,beans,Abnormal,Protect crops from extreme heat; increase humidity
58,18,45,50,20,beans,Normal,No specific remedy needed
59,35,80,30,10,beans,Abnormal,Adjust planting time to avoid excessive rainfall
60,25,25,75,40,beans,Abnormal,"Increase humidity, protect from excessive sunlight"
61,28,50,68,18,beans,Normal,No specific remedy needed
62,15,85,20,35,beans,Abnormal,Adjust planting time to avoid excessive rainfall
